,Ticker,SOL-EUR,SOL-EUR.1,SOL-EUR.2,SOL-EUR.3,SOL-EUR.4,XRP-EUR,XRP-EUR.1,XRP-EUR.2,XRP-EUR.3,XRP-EUR.4,ETH-EUR,ETH-EUR.1,ETH-EUR.2,ETH-EUR.3,ETH-EUR.4,BTC-EUR,BTC-EUR.1,BTC-EUR.2,BTC-EUR.3,BTC-EUR.4
0,Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
1,Date,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
2,2020-01-01,Open,High,Low,Close,Volume,0.1719370037317276,0.17325399816036224,0.17195500433444977,0.17173199355602264,928001259,115.53630065917969,118.79917907714844,115.21967315673828,116.58866882324219,7072964397,6412.61279296875,6469.86181640625,6420.14013671875,6417.78173828125,16548264141
3,2020-01-02,Open,High,Low,Close,Volume,0.17176799476146698,0.17194800078868866,0.16731399297714233,0.16832399368286133,971536049,116.604736328125,116.604736328125,113.62210845947266,114.04931640625,7190359200,6419.900390625,6425.73486328125,6206.927734375,6252.9384765625,18620672983
4,2020-01-03,Open,High,Low,Close,Volume,0.16823899745941162,0.17423200607299805,0.16628900170326233,0.17341400682926178,1138059732,114.05027770996094,120.5735855102539,113.18643188476562,120.23100280761719,9388280172,6252.00634765625,6634.89697265625,6187.71142578125,6581.73583984375,25190641930
5,2020-01-04,Open,High,Low,Close,Volume,0.17341400682926178,0.1744289994239807,0.17190299928188324,0.17416100203990936,895499042,120.22814178466797,121.91656494140625,119.21736907958984,121.03539276123047,6658818674,6582.17626953125,6655.66552734375,6550.041015625,6640.67431640625,16527874601
6,2020-01-05,Open,High,Low,Close,Volume,0.17417199909687042,0.1785230040550232,0.1737390011548996,0.17520500719547272,1046608388,121.03783416748047,124.92520141601562,121.01411437988281,122.10630798339844,6744029070,6640.49072265625,6760.6083984375,6628.50439453125,6640.66650390625,17674001715
7,2020-01-06,Open,High,Low,Close,Volume,0.17520299553871155,0.2000180035829544,0.17465899884700775,0.1978600025177002,2055933596,122.13208770751953,128.9168243408203,121.85862731933594,128.8970947265625,8122825928,6639.89111328125,6950.91943359375,6637.79296875,6939.71484375,20791101700
8,2020-01-07,Open,High,Low,Close,Volume,0.19791899621486664,0.19953800737857819,0.1876000016927719,0.19182999432086945,2006651488,128.90408325195312,130.11256408691406,126.07527923583984,128.72279357910156,8302052336,6939.2353515625,7335.24609375,6938.82958984375,7320.77490234375,25797010963
9,2020-01-08,Open,High,Low,Close,Volume,0.1917559951543808,0.19418999552726746,0.18467800319194794,0.18809500336647034,1603675199,128.67242431640625,131.57374572753906,124.44207000732422,127.11325073242188,8447208190,7319.19921875,7551.09423828125,7160.52392578125,7270.78564453125,28501027543
