,Ticker,E50.PA,E50.PA.1,E50.PA.2,E50.PA.3,E50.PA.4,E50.PA.5,ANX.PA,ANX.PA.1,ANX.PA.2,ANX.PA.3,ANX.PA.4,ES5.PA,ES5.PA.1,ES5.PA.2,ES5.PA.3,ES5.PA.4,ES5.PA.5
16,2020-01-22,Open,High,Low,Close,Adj Close,Volume,92.1500015258789,92.31999969482422,91.98999786376953,92.19000244140625,4355,Open,High,Low,Close,Adj Close,Volume
17,2020-01-23,Open,High,Low,Close,Adj Close,Volume,91.80999755859375,92.3499984741211,91.44000244140625,92.06999969482422,1610,Open,High,Low,Close,Adj Close,Volume
18,2020-01-24,Open,High,Low,Close,Adj Close,Volume,92.80000305175781,93.0999984741211,92.62000274658203,92.62000274658203,1050,Open,High,Low,Close,Adj Close,Volume
19,2020-01-27,Open,High,Low,Close,Adj Close,Volume,90.63999938964844,90.69000244140625,89.76000213623047,89.94000244140625,8604,Open,High,Low,Close,Adj Close,Volume
20,2020-01-28,Open,High,Low,Close,Adj Close,Volume,90.69000244140625,91.38999938964844,90.08999633789062,91.38999938964844,1788,Open,High,Low,Close,Adj Close,Volume
21,2020-01-29,Open,High,Low,Close,Adj Close,Volume,91.70999908447266,92.16000366210938,91.41000366210938,91.69999694824219,2206,Open,High,Low,Close,Adj Close,Volume
22,2020-01-30,Open,High,Low,Close,Adj Close,Volume,90.61000061035156,91.06999969482422,90.5999984741211,90.98999786376953,3620,Open,High,Low,Close,Adj Close,Volume
23,2020-01-31,Open,High,Low,Close,Adj Close,Volume,92.29000091552734,92.29000091552734,90.27999877929688,90.27999877929688,328,Open,High,Low,Close,Adj Close,Volume
24,2020-02-03,Open,High,Low,Close,Adj Close,Volume,90.69000244140625,91.55000305175781,90.27999877929688,91.37999725341797,2900,Open,High,Low,Close,Adj Close,Volume
25,2020-02-04,Open,High,Low,Close,Adj Close,Volume,92.05999755859375,93.5199966430664,92.05999755859375,93.5199966430664,492,Open,High,Low,Close,Adj Close,Volume
26,2020-02-05,Open,High,Low,Close,Adj Close,Volume,93.62999725341797,95.12999725341797,93.62999725341797,94.12000274658203,5834,Open,High,Low,Close,Adj Close,Volume
27,2020-02-06,Open,High,Low,Close,Adj Close,Volume,95.0199966430664,95.19999694824219,94.72000122070312,95.19999694824219,1692,Open,High,Low,Close,Adj Close,Volume
28,2020-02-07,Open,High,Low,Close,Adj Close,Volume,95.30000305175781,95.62999725341797,94.87000274658203,95.62999725341797,8442,Open,High,Low,Close,Adj Close,Volume
29,2020-02-10,Open,High,Low,Close,Adj Close,Volume,95.25,96.12000274658203,94.9800033569336,96.12000274658203,2639,Open,High,Low,Close,Adj Close,Volume
30,2020-02-11,Open,High,Low,Close,Adj Close,Volume,97.02999877929688,97.4800033569336,96.80000305175781,97.1500015258789,2660,Open,High,Low,Close,Adj Close,Volume
31,2020-02-12,Open,High,Low,Close,Adj Close,Volume,97.04000091552734,97.6500015258789,97.0199966430664,97.6500015258789,1965,Open,High,Low,Close,Adj Close,Volume
32,2020-02-13,Open,High,Low,Close,Adj Close,Volume,97.37999725341797,98.2699966430664,97.08999633789062,98.2699966430664,7721,Open,High,Low,Close,Adj Close,Volume
33,2020-02-14,Open,High,Low,Close,Adj Close,Volume,98.48999786376953,98.54000091552734,98.04000091552734,98.37000274658203,3145,Open,High,Low,Close,Adj Close,Volume
34,2020-02-17,Open,High,Low,Close,Adj Close,Volume,98.83000183105469,98.8499984741211,98.69999694824219,98.83000183105469,3674,Open,High,Low,Close,Adj Close,Volume
35,2020-02-18,Open,High,Low,Close,Adj Close,Volume,97.66000366210938,98.54000091552734,97.55000305175781,98.26000213623047,4394,Open,High,Low,Close,Adj Close,Volume
36,2020-02-19,Open,High,Low,Close,Adj Close,Volume,99.1500015258789,99.9000015258789,99.11000061035156,99.9000015258789,4296,Open,High,Low,Close,Adj Close,Volume
37,2020-02-20,Open,High,Low,Close,Adj Close,Volume,100.0,100.0,98.05999755859375,98.05999755859375,2421,Open,High,Low,Close,Adj Close,Volume
38,2020-02-21,Open,High,Low,Close,Adj Close,Volume,98.0199966430664,98.25,96.58000183105469,97.19000244140625,5200,Open,High,Low,Close,Adj Close,Volume
39,2020-02-24,Open,High,Low,Close,Adj Close,Volume,94.68000030517578,94.68000030517578,92.80000305175781,93.05000305175781,12913,Open,High,Low,Close,Adj Close,Volume
40,2020-02-25,Open,High,Low,Close,Adj Close,Volume,93.97000122070312,93.97000122070312,91.0999984741211,91.62000274658203,6629,Open,High,Low,Close,Adj Close,Volume
41,2020-02-26,Open,High,Low,Close,Adj Close,Volume,90.7699966430664,92.63999938964844,89.01000213623047,91.69000244140625,11887,Open,High,Low,Close,Adj Close,Volume
42,2020-02-27,Open,High,Low,Close,Adj Close,Volume,89.3499984741211,89.3499984741211,85.73999786376953,87.33000183105469,10994,Open,High,Low,Close,Adj Close,Volume
43,2020-02-28,Open,High,Low,Close,Adj Close,Volume,83.81999969482422,84.3499984741211,81.51000213623047,84.12000274658203,15922,Open,High,Low,Close,Adj Close,Volume
44,2020-03-02,Open,High,Low,Close,Adj Close,Volume,86.11000061035156,86.7300033569336,83.62999725341797,85.87999725341797,11119,Open,High,Low,Close,Adj Close,Volume
45,2020-03-03,Open,High,Low,Close,Adj Close,Volume,87.88999938964844,88.91999816894531,87.08999633789062,87.08999633789062,8142,Open,High,Low,Close,Adj Close,Volume
46,2020-03-04,Open,High,Low,Close,Adj Close,Volume,86.44000244140625,87.66000366210938,86.3499984741211,87.33000183105469,6065,Open,High,Low,Close,Adj Close,Volume
47,2020-03-05,Open,High,Low,Close,Adj Close,Volume,87.80000305175781,87.91999816894531,86.01000213623047,87.48999786376953,4835,Open,High,Low,Close,Adj Close,Volume
48,2020-03-06,Open,High,Low,Close,Adj Close,Volume,84.55999755859375,84.55999755859375,81.75,83.08000183105469,12294,Open,High,Low,Close,Adj Close,Volume
49,2020-03-09,Open,High,Low,Close,Adj Close,Volume,75.38999938964844,80.0,74.86000061035156,79.0,13712,Open,High,Low,Close,Adj Close,Volume
50,2020-03-10,Open,High,Low,Close,Adj Close,Volume,79.76000213623047,81.41000366210938,77.2300033569336,78.72000122070312,11514,Open,High,Low,Close,Adj Close,Volume
51,2020-03-11,Open,High,Low,Close,Adj Close,Volume,79.80999755859375,80.81999969482422,79.30000305175781,79.73999786376953,17674,Open,High,Low,Close,Adj Close,Volume
52,2020-03-12,Open,High,Low,Close,Adj Close,Volume,75.51000213623047,76.8499984741211,72.33000183105469,72.33000183105469,21012,Open,High,Low,Close,Adj Close,Volume
53,2020-03-13,Open,High,Low,Close,Adj Close,Volume,75.38999938964844,77.33000183105469,73.0,74.7300033569336,15583,Open,High,Low,Close,Adj Close,Volume
54,2020-03-16,Open,High,Low,Close,Adj Close,Volume,71.66999816894531,75.51000213623047,70.4000015258789,73.87999725341797,20130,Open,High,Low,Close,Adj Close,Volume
55,2020-03-17,Open,High,Low,Close,Adj Close,Volume,73.0,76.0,70.44999694824219,74.94000244140625,13026,Open,High,Low,Close,Adj Close,Volume
56,2020-03-18,Open,High,Low,Close,Adj Close,Volume,73.0999984741211,73.97000122070312,70.25,72.93000030517578,6501,Open,High,Low,Close,Adj Close,Volume
57,2020-03-19,Open,High,Low,Close,Adj Close,Volume,73.45999908447266,76.0,72.61000061035156,75.0199966430664,7790,Open,High,Low,Close,Adj Close,Volume
